Text,No of words,No of questoning words,label,question mark
What is sampling?,3,1,Question,TRUE
"So suppose you sample a signal at 10 kilohertz, what is the maximum frequency which will be available in the signal?",21,2,Question,TRUE
So what happens to the signals which are beyond 20 kilowatts?,11,2,Question,TRUE
"we are sampling a signal at 10 kilohertz. ,the maximum frequency present in this signal is 20 kilohertz.what happens to all those signal components which are beyond 20 kilohertz?",29,2,Question,TRUE
the input signal is a real signal And I am doing a Fourier transform on it. What kind of signal will be generated from for transfer?,26,1,Question,TRUE
Conjugate symmetry.Is that what you are saying?,7,1,Question,TRUE
You will get one complex value or many complex values.?,10,0,Question,TRUE
you have a signal which is having 50 values. How many complex values will be generated?,16,2,Question,TRUE
one drawback of Fourier transform?,5,0,Question,1
What do you mean by non stationary?,7,1,Question,1
Do you have some parameters to specify?,7,0,Question,1
we have two events. Event A and event B. OK. And they are independent of each other. OK. So what is the conditional probability of B?,26,1,Question,1
When can you say 2 vectors to be independent of each other?,12,1,Question,1
when do you say 2 vectors to be independent? Of each other.,12,1,Question,1
 I give you 2 vectors. How will you find out whether they are independent or not?,17,2,Question,1
 What is rank of a matrix?,7,1,Question,1
Let's say you have an identity matrix of order N. What is the rank of such a matrix?,18,1,Question,1
when can you have a matrix with rank equal to 0?,11,1,Question,1
The rank of a matrix will. Be at least one.,10,0,Question,0
Minimum rank is one?,4,0,Question,1
You cannot have rank 0.,5,0,Question,0
Suppose you have a zero matrix. What is the rank of this zero matrix?,14,1,Question,1
"No, my the matrix is all zeros. What is the rank of such a matrix?",15,1,Question,1
Then why not? If it is a general matrix of order and why not its? Rank is N.,18,1,Question,1
How can you say they are independent?,7,1,Question,1
" between the three subjects.Deep learning, speech processing and NLP.Which subject are you more comfortable with?",16,1,Question,1
So then let's talk about another bill.,7,0,Question,0
When do you use a similarity measure?,7,1,Question,1
How do you use similarity measure for such a situation? Which? You have explained. ,15,2,Question,1
which kind of similarity measure would you use in this particular scenario?,12,1,Question,1
 What are the different similarity?Measures do you know? ,10,1,Question,1
Would you say all words are tokens or would you say all tokens are words?,15,0,Question,1
Where do you use the concept of independent vectors in text processing? ,13,0,Question,1
So let's say you have a log document maybe 20 ,11,0,Question,0
You have a lengthy document.,5,0,Question,0
Maybe 20 pages?,3,0,Question,1
"And assuming there are 500 words present in every page.So that's basically amounting to around 10,000 watts. ",18,0,Question,0
