audio no,person no,speaker 1,speaker 2,question,answer
11,1,"Yashwant we go one after another, so we'll start with this Yashwant and then we'll go to vamsi ok",OK sir,,
,,OK. Yeah.So Yashwant tell me?Suppose we have to do sentiment.Understanding in a speech except.How will you do it?,Can you repeat it again?,,
,,"OK, so you have a speech signal and you want to understand whether the Sentiment of the speaker is a positive sentiment. Or is a negative sentiment OK.The person is happy.,sad,angry How would you do that?",By Speech recognition.," you have a speech signal and you want to understand whether the Sentiment of the speaker is a positive sentiment. Or is a negative sentiment OK.The person is happy.,sad,angry How would you do that?",By Speech recognition.
,,"OK, tell me more.",and with also text recognition., tell me more.,and with also text recognition.
,,So can you help me understand how easily your system will design?,"We can, like we can convert that speech into text like. After. Various tools and libraries to Convert that and analyze the sentiment and.",can you help me understand how easily your system will design?,"We can, like we can convert that speech into text like. After. Various tools and libraries to Convert that and analyze the sentiment "
,,"ok So once you have so you are saying that you will take the speech signal and you will recognize it and you will have that text, then you will analyze that text to find out what is the sentiment in it, right?","Yes, Sir."," you are saying that you will take the speech signal and you will recognize it and you will have that text, then you will analyze that text to find out what is the sentiment in it, right?","Yes, Sir."
,,"OK, so once the sentiment is available, sorry, the text is available, how will you analyze it to understand the sentiment?",I will preprocess the text and remove the noise.,"the text is available, how will you analyze it to understand the sentiment?",I will preprocess the text and remove the noise.
,,What is noise in text?,"I said I was saying, like in speech speech. And remove it irrelevant information in text that we have we have received.",What is noise in text?,"I was saying, like in speech speech. And remove it irrelevant information in text that we have we have received."
,,"Yeah, but be little more specific. You said that you will remove relevant things. How you find out what is irrelevant, what is relevant.","Is in this On text Punctuations, lower case, lower casing, etcetera, we can remove remove stopwords. "," be little more specific. You said that you will remove relevant things. How you find out what is irrelevant, what is relevant."," in this On text Punctuations, lower case, lower casing, etcetera, we can remove remove stopwords. "
,,"OK, very good You used a nice term called stopwords. What is the stopword?.",stop words like in sentence so I can say like. Not Which do not carry like a basic significant meaning., What is the stopword?,stop words like in sentence so I can say like. Not Which do not carry like a basic significant meaning.
,,Can you give an example?,"Example, I have no idea I felt.",Can you give an example?, I have no idea
,,ok So you will remove stopwords from the sentence,"Yes, Sir.",you will remove stopwords from the sentence,"Yes, Sir."
,,Then what will you do?,After more like uhh Then we will apply like sentiment analysis to for the prepared preprocess text..,Then what will you do?, Then we will apply like sentiment analysis to for the prepared preprocess text.
,,How will you do sentiment analysis?,Like there are some different machine learning approaches and deep learning approaches that we can and.,How will you do sentiment analysis?,there are some different machine learning approaches and deep learning approaches that we can
,,Which approaches will you can you name some approaches?,Naive based RNN etc. SVM also we can.,Which approaches will you can you name some approaches?,Naive based RNN etc. SVM also we can
,,You can use SVM?,yes sir,You can use SVM?,yes sir
,,so you have a text sentence. OK and you have removed stop word in it. How do you use it in SVM?Does the SVM understand text sentences?,I think  no sir,you have a text sentence and you have removed stop word in it. How do you use it in SVM?Does the SVM understand text sentences?,
,,So how would you use SVM for this scenario?,No idea sir,how would you use SVM for this scenario?,No idea sir
,,No problem,OK sir,,
,,So tell me when you are doing a convolutional neural network.What do you train for?,"While doing convolutional, neutral it Sir after that.", when you are doing a convolutional neural network.What do you train for?,"While doing convolutional, neutral it Sir after that"
,,"NO,You do a training of CNN's, right?","Yes, Sir.","You do a training of CNN's, right?",yes
,,What do you train for? What gets trained in a in a training phase of the CNN?,Text we can extract the text from illness,What do you train for? What gets trained in a in a training phase of the CNN?,Text we can extract the text from illness
,,"OK., Thank you very much",,,
,2,We'll move on to Vamsi.,"Good evening, Sir.",,
